Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,31.450001,32.000000,31.000000,31.500000,30.412552,583946
2020-05-20,31.450001,32.000000,30.049999,30.650000,29.591896,773946
2020-05-21,31.000000,31.500000,30.500000,31.450001,30.364279,840197
2020-05-22,31.299999,31.950001,31.000000,31.350000,30.267731,552871
2020-05-26,31.250000,32.000000,30.700001,31.350000,30.267731,312151
2020-05-27,31.350000,32.200001,30.049999,32.150002,31.040113,611048
2020-05-28,32.000000,33.200001,31.100000,32.900002,31.764225,1573734
2020-05-29,33.000000,34.000000,32.500000,33.799999,32.633148,929143
2020-06-01,34.250000,35.599998,34.000000,35.500000,34.274464,1169099
2020-06-02,35.950001,37.099998,35.900002,36.900002,35.626133,904362
2020-06-03,36.900002,38.400002,36.049999,37.599998,36.301964,931189
2020-06-04,38.500000,38.700001,36.049999,38.349998,37.026073,731327
2020-06-05,38.500000,40.299999,38.500000,40.099998,38.715660,1729624
2020-06-08,40.500000,42.099998,40.200001,41.950001,40.501797,781584
2020-06-09,41.900002,42.000000,38.000000,41.450001,40.019054,1146432
2020-06-10,41.849998,42.000000,39.500000,41.750000,40.308701,1215727
2020-06-11,41.099998,41.299999,39.000000,39.650002,38.281200,865104
2020-06-12,40.500000,41.000000,38.049999,39.650002,38.281200,642486
2020-06-16,39.900002,41.750000,39.900002,40.799999,39.391495,1058736
2020-06-17,41.250000,41.400002,38.049999,38.900002,37.557091,634882
2020-06-18,38.599998,38.599998,34.799999,37.349998,36.060596,922156
2020-06-19,38.000000,39.500000,37.500000,39.450001,38.088100,990206
2020-06-22,39.500000,40.250000,38.799999,40.049999,38.667389,632973
2020-06-23,40.099998,41.099998,40.000000,40.250000,38.860481,944910
2020-06-24,40.500000,40.650002,39.500000,40.250000,38.860481,450924
2020-06-25,40.450001,41.500000,40.200001,40.700001,39.294952,357239
2020-06-26,40.700001,40.700001,38.049999,39.349998,37.991550,457308
2020-06-29,39.349998,40.150002,38.049999,38.799999,37.460541,224970
2020-06-30,39.000000,39.400002,35.799999,36.099998,34.853745,776213
2020-07-01,36.500000,37.700001,35.750000,37.500000,36.205418,472378
2020-07-02,37.599998,38.349998,36.200001,36.950001,35.674408,375137
2020-07-03,37.000000,37.450001,35.599998,36.650002,35.384762,279281
2020-07-06,37.099998,38.900002,36.950001,37.599998,36.301964,836783
2020-07-07,37.000000,38.000000,36.799999,36.950001,35.674408,443971
2020-07-08,37.150002,38.000000,36.349998,36.700001,35.433037,723154
2020-07-13,37.049999,37.900002,36.349998,36.500000,35.239941,686877
2020-07-14,36.549999,37.400002,35.400002,36.700001,35.433037,618589
2020-07-15,37.299999,37.500000,36.799999,37.349998,36.060596,510502
2020-07-16,37.500000,38.200001,37.000000,37.299999,36.012321,484081
2020-07-17,37.500000,38.299999,37.299999,38.299999,36.977798,508528
2020-07-20,38.500000,39.599998,38.500000,39.299999,37.943279,631224
2020-07-21,39.650002,40.349998,39.650002,40.250000,38.860481,593253
2020-07-22,40.500000,43.000000,40.200001,42.650002,41.177631,1129083
2020-07-23,43.000000,44.250000,37.700001,41.349998,39.922508,1104877
2020-07-24,41.000000,42.200001,39.700001,41.799999,40.356972,1231596
2020-07-27,42.000000,43.000000,41.099998,42.900002,41.419003,890213
2020-07-28,43.000000,43.500000,42.000000,42.500000,41.032810,601009
2020-07-29,43.599998,44.000000,42.849998,43.700001,42.191383,545676
2020-07-30,44.000000,44.950001,42.200001,44.950001,43.398228,710668
2020-07-31,44.950001,46.000000,44.000000,45.700001,44.122341,675792
2020-08-03,45.700001,47.849998,44.200001,47.000000,45.377457,1256195
2020-08-04,49.799999,51.000000,44.000000,47.700001,46.053295,1557322
2020-08-05,47.900002,48.349998,45.500000,46.650002,45.039543,1265244
2020-08-06,46.000000,46.950001,45.049999,46.700001,45.087818,779622
2020-08-07,46.500000,48.000000,46.000000,47.900002,46.246391,773099
2020-08-10,48.150002,49.299999,48.000000,49.150002,47.453239,616925
2020-08-11,49.700001,52.400002,49.400002,51.700001,49.915203,1641904
2020-08-12,52.400002,52.799999,48.599998,50.400002,48.660084,919337
2020-08-13,51.000000,51.599998,50.799999,51.400002,49.625561,442669
2020-08-14,51.400002,51.799999,46.000000,48.849998,47.163589,765765
2020-08-18,48.299999,48.750000,45.000000,46.349998,44.749897,566226
2020-08-19,46.349998,48.200001,46.000000,48.099998,46.439484,501767
2020-08-20,48.950001,50.000000,48.099998,49.849998,48.129070,587425
2020-08-21,50.000000,51.000000,48.450001,49.150002,47.453239,636566
2020-08-24,49.000000,50.500000,47.500000,50.099998,48.370438,802498
2020-08-25,50.000000,51.200001,48.700001,51.099998,49.335915,1023217
2020-08-26,51.099998,52.099998,49.200001,49.849998,48.129070,818130
2020-08-27,49.000000,50.400002,47.799999,48.250000,46.584305,559944
2020-08-28,48.299999,49.500000,46.150002,47.799999,46.149837,780181
2020-08-31,48.000000,49.200001,47.799999,49.150002,47.453239,438367
2020-09-01,49.150002,50.200001,48.400002,49.450001,47.742878,429915
2020-09-02,49.450001,49.450001,47.500000,48.049999,46.391209,311952
2020-09-03,47.500000,48.799999,46.400002,47.650002,46.005024,221027
2020-09-04,47.650002,48.500000,46.799999,48.450001,46.777401,225844
2020-09-07,49.450001,49.500000,48.500000,49.200001,47.501511,172893
2020-09-08,49.000000,49.599998,48.200001,49.500000,47.791157,476215
2020-09-09,49.799999,51.000000,49.000000,50.799999,49.046276,836343
2020-09-10,51.000000,51.799999,50.000000,51.200001,49.432465,775939
2020-09-11,51.599998,51.900002,49.599998,50.200001,48.466991,572475
2020-09-14,50.200001,51.000000,48.599998,50.200001,48.466991,324850
2020-09-15,50.400002,50.500000,49.099998,50.299999,48.563534,248268
2020-09-16,49.450001,49.500000,45.500000,49.400002,47.694607,929651
2020-09-17,47.799999,48.849998,42.700001,43.500000,41.998283,1322475
2020-09-18,42.500000,45.299999,40.250000,44.500000,42.963764,609938
2020-09-21,41.900002,43.700001,41.900002,43.000000,41.515549,444757
2020-09-22,43.849998,44.950001,43.099998,44.599998,43.060310,875175
2020-09-23,45.000000,47.000000,44.500000,46.549999,44.942993,649531
2020-09-24,47.500000,47.799999,46.599998,47.099998,45.474007,666223
2020-09-25,47.200001,48.000000,46.200001,47.450001,45.811924,406925
2020-09-28,47.500000,48.500000,47.500000,48.450001,46.777401,467618
2020-09-29,48.950001,49.900002,47.500000,49.799999,48.080795,644164
2020-09-30,49.900002,50.599998,46.599998,46.799999,45.184361,1211807
2020-10-01,47.200001,48.349998,46.400002,48.000000,46.342937,528066
2020-10-02,48.700001,50.200001,48.000000,49.900002,48.177341,696384
2020-10-05,50.299999,51.000000,49.500000,50.900002,49.142822,875907
2020-10-06,51.000000,53.700001,49.599998,53.200001,51.363422,1856867
2020-10-07,53.900002,54.900002,53.099998,54.000000,52.135803,1833767
2020-10-08,54.799999,55.000000,51.700001,53.000000,51.170330,951771
2020-10-09,53.000000,54.000000,52.000000,52.799999,50.977230,640395
2020-10-13,53.000000,53.700001,50.200001,51.099998,49.335915,925020
2020-10-14,51.500000,52.900002,50.200001,52.700001,50.880680,1203526
2020-10-15,52.900002,54.299999,52.700001,54.099998,52.232349,1545546
2020-10-16,54.000000,54.500000,52.700001,53.700001,51.846161,994897
2020-10-19,53.700001,54.500000,50.700001,50.900002,49.142822,1340360
2020-10-20,50.900002,51.900002,48.500000,51.000000,49.239372,1317909
2020-10-21,51.700001,52.500000,50.700001,52.200001,50.397945,2047131
2020-10-22,52.700001,53.000000,51.200001,52.299999,50.494492,1228677
2020-10-23,52.400002,53.000000,50.400002,52.799999,50.977230,1376780
2020-10-26,52.799999,53.000000,50.500000,51.299999,49.529011,1081161
2020-10-27,51.400002,52.000000,49.000000,49.650002,47.935978,551447
2020-10-28,48.500000,49.500000,46.000000,47.000000,45.377457,1143641
2020-10-29,47.099998,49.000000,47.099998,48.799999,47.115318,503240
2020-10-30,49.400002,52.000000,48.000000,51.400002,49.625561,997893
2020-11-02,51.500000,52.599998,51.000000,51.500000,49.722111,564967
2020-11-03,51.299999,52.000000,49.099998,49.900002,48.177341,532459
2020-11-04,50.000000,50.500000,48.900002,49.450001,47.742878,461411
2020-11-05,49.950001,49.950001,48.000000,49.750000,48.032524,229526
2020-11-06,50.000000,51.000000,49.700001,49.950001,48.225620,532410
2020-11-09,51.200001,51.400002,50.000000,50.400002,48.660084,438514
2020-11-10,50.299999,50.500000,48.900002,49.099998,47.404961,493285
2020-11-11,49.900002,50.700001,49.099998,49.849998,48.129070,685223
2020-11-12,49.900002,50.099998,49.150002,49.549999,47.839424,520692
2020-11-13,49.549999,50.299999,48.900002,49.400002,47.694607,423283
2020-11-16,50.000000,50.700001,48.950001,49.900002,48.177341,535566
2020-11-17,49.900002,50.299999,49.349998,49.799999,48.080795,352364
2020-11-18,49.799999,50.000000,48.200001,49.400002,47.694607,557199
2020-11-19,49.500000,49.799999,47.799999,48.049999,46.391209,528246
2020-11-20,48.000000,48.000000,46.400002,48.000000,46.342937,1004260
2020-11-24,48.450001,49.400002,48.450001,49.049999,47.356686,512289
2020-11-25,49.000000,51.000000,48.049999,50.900002,49.142822,1047531
2020-11-26,50.799999,53.000000,50.599998,52.900002,51.073780,1017498
2020-11-27,53.500000,54.200001,52.700001,53.500000,51.653065,1180248
2020-11-30,53.500000,54.200001,52.000000,52.599998,50.784134,1225474
